batch	batch_id	cond
scell.nextera.NXT_32	1	1	2i_all
scell.nextera.NXT_33	1	1	2i_all
scell.nextera.NXT_33b	1	1	2i_all
scell.nextera.NXT_34	1	1	2i_all
scell.nextera.NXT_35	1	1	2i_all
scell.nextera.NXT_36	1	1	2i_all
scell.nextera.NXT_37	1	1	2i_all
scell.nextera.NXT_37b	1	1	2i_all
scell.nextera.NXT_38	1	1	2i_all
scell.nextera.NXT_38b	1	1	2i_all
scell.nextera.NXT_42	1	1	2i_all
scell.nextera.NXT_43	1	1	2i_all
scell.nextera.NXT_44	1	1	2i_all
scell.nextera.NXT_45	1	1	2i_all
scell.nextera.NXT_46	1	1	2i_all
scell.nextera.NXT_47	1	1	2i_all
scell.nextera.NXT_48	1	1	2i_all
scell.nextera.NXT_52	1	1	2i_all
scell.nextera.NXT_53	1	1	2i_all
scell.nextera.NXT_54	1	1	2i_all
scell.nextera.NXT_55	1	1	2i_all
scell.nextera.NXT_56	1	1	2i_all
scell.nextera.NXT_57	1	1	2i_all
scell.nextera.NXT_58	1	1	2i_all
scell.nextera.NXT_62	1	1	2i_all
scell.nextera.NXT_63	1	1	2i_all
scell.nextera.NXT_64	1	1	2i_all
scell.nextera.NXT_65	1	1	2i_all
scell.nextera.NXT_66	1	1	2i_all
scell.nextera.NXT_67	1	1	2i_all
scell.nextera.NXT_68	1	1	2i_all
scell.nextera.NXT_72	1	1	2i_all
scell.nextera.NXT_73	1	1	2i_all
scell.nextera.NXT_74	1	1	2i_all
scell.nextera.NXT_75	1	1	2i_all
scell.nextera.NXT_76	1	1	2i_all
scell.nextera.NXT_77	1	1	2i_all
scell.nextera.NXT_78	1	1	2i_all
scell.nextera.NXT_78b	1	1	2i_all
scell.nextera.NXT_82	1	1	2i_all
scell.nextera.NXT_83	1	1	2i_all
scell.nextera.NXT_84	1	1	2i_all
scell.nextera.NXT_85	1	1	2i_all
scell.nextera.NXT_86	1	1	2i_all
scell.nextera.NXT_87	1	1	2i_all
scell.nextera.NXT_88	1	1	2i_all
scell.nextera.NXT_92	1	1	2i_all
scell.nextera.NXT_93	1	1	2i_all
scell.nextera.NXT_94	1	1	2i_all
scell.nextera.NXT_95	1	1	2i_all
scell.nextera.NXT_96	1	1	2i_all
scell.nextera.NXT_97	1	1	2i_all
scell.nextera.NXT_98	1	1	2i_all
scell.nextera.NXT_102	2	1268	2i_all
scell.nextera.NXT_103	2	1268	2i_all
scell.nextera.NXT_104	2	1268	2i_all
scell.nextera.NXT_105	2	1268	2i_all
scell.nextera.NXT_106	2	1268	2i_all
scell.nextera.NXT_107	2	1268	2i_all
scell.nextera.NXT_108	2	1268	2i_all
scell.nextera.NXT_112	2	1268	2i_all
scell.nextera.NXT_113	2	1268	2i_all
scell.nextera.NXT_114	2	1268	2i_all
scell.nextera.NXT_115	2	1268	2i_all
scell.nextera.NXT_116	2	1268	2i_all
scell.nextera.NXT_117	2	1268	2i_all
scell.nextera.NXT_118	2	1268	2i_all
scell.nextera.NXT_122	2	1268	2i_all
scell.nextera.NXT_123	2	1268	2i_all
scell.nextera.NXT_124	2	1268	2i_all
scell.nextera.NXT_125	2	1268	2i_all
scell.nextera.NXT_126	2	1268	2i_all
scell.nextera.NXT_127	2	1268	2i_all
scell.nextera.NXT_128	2	1268	2i_all
scell.nextera.NXT_142	3	1527	2i_all
scell.nextera.NXT_143	3	1527	2i_all
scell.nextera.NXT_144	3	1527	2i_all
scell.nextera.NXT_145	3	1527	2i_all
scell.nextera.NXT_146	3	1527	2i_all
scell.nextera.NXT_147	3	1527	2i_all
scell.nextera.NXT_148	3	1527	2i_all
scell.nextera.NXT_152	3	1527	2i_all
scell.nextera.NXT_153	3	1527	2i_all
scell.nextera.NXT_154	3	1527	2i_all
scell.nextera.NXT_155	3	1527	2i_all
scell.nextera.NXT_156	3	1527	2i_all
scell.nextera.NXT_157	3	1527	2i_all
scell.nextera.NXT_158	3	1527	2i_all
scell.nextera.NXT_162	3	1527	2i_all
scell.nextera.NXT_163	3	1527	2i_all
scell.nextera.NXT_164	3	1527	2i_all
scell.nextera.NXT_165	3	1527	2i_all
scell.nextera.NXT_166	3	1527	2i_all
scell.nextera.NXT_167	3	1527	2i_all
scell.nextera.NXT_168	3	1527	2i_all
scell.nextera.NXT_172	3	1527	2i_all
scell.nextera.NXT_173	3	1527	2i_all
scell.nextera.NXT_174	3	1527	2i_all
scell.nextera.NXT_175	3	1527	2i_all
scell.nextera.NXT_176	3	1527	2i_all
scell.nextera.NXT_177	3	1527	2i_all
scell.nextera.NXT_178	3	1527	2i_all
scell.nextera.NXT_182	3	1527	2i_all
scell.nextera.NXT_183	3	1527	2i_all
scell.nextera.NXT_184	3	1527	2i_all
scell.nextera.NXT_185	3	1527	2i_all
scell.nextera.NXT_186	3	1527	2i_all
scell.nextera.NXT_187	3	1527	2i_all
scell.nextera.NXT_188	3	1527	2i_all
scell.nextera.NXT_192	3	1527	2i_all
scell.nextera.NXT_193	3	1527	2i_all
scell.nextera.NXT_194	3	1527	2i_all
scell.nextera.NXT_195	3	1527	2i_all
scell.nextera.NXT_196	3	1527	2i_all
scell.nextera.NXT_197	3	1527	2i_all
scell.nextera.NXT_198	3	1527	2i_all
scell.nextera.NXT_202	3	1527	2i_all
scell.nextera.NXT_203	3	1527	2i_all
scell.nextera.NXT_204	3	1527	2i_all
scell.nextera.NXT_205	3	1527	2i_all
scell.nextera.NXT_206	3	1527	2i_all
scell.nextera.NXT_207	3	1527	2i_all
scell.nextera.NXT_208	3	1527	2i_all
scell.nextera.NXT_212	3	1527	2i_all
scell.nextera.NXT_213	3	1527	2i_all
scell.nextera.NXT_214	3	1527	2i_all
scell.nextera.NXT_215	3	1527	2i_all
scell.nextera.NXT_216	3	1527	2i_all
scell.nextera.NXT_217	3	1527	2i_all
scell.nextera.NXT_218	3	1527	2i_all
scell.nextera.NXT_222	3	1527	2i_all
scell.nextera.NXT_223	3	1527	2i_all
scell.nextera.NXT_224	3	1527	2i_all
scell.nextera.NXT_225	3	1527	2i_all
scell.nextera.NXT_226	3	1527	2i_all
scell.nextera.NXT_227	3	1527	2i_all
scell.nextera.NXT_228	3	1527	2i_all
scell.nextera.NXT_232	3	1527	2i_all
scell.nextera.NXT_233	3	1527	2i_all
scell.nextera.NXT_234	3	1527	2i_all
scell.nextera.NXT_235	3	1527	2i_all
scell.nextera.NXT_236	3	1527	2i_all
scell.nextera.NXT_237	3	1527	2i_all
scell.nextera.NXT_238	3	1527	2i_all
scell.nextera.NXT_242	3	1527	2i_all
scell.nextera.NXT_243	3	1527	2i_all
scell.nextera.NXT_244	3	1527	2i_all
scell.nextera.NXT_245	3	1527	2i_all
scell.nextera.NXT_246	3	1527	2i_all
scell.nextera.NXT_247	3	1527	2i_all
scell.nextera.NXT_248	3	1527	2i_all
scell.nextera.NXT_252	3	1527	2i_all
scell.nextera.NXT_253	3	1527	2i_all
scell.nextera.NXT_254	3	1527	2i_all
scell.nextera.NXT_255	3	1527	2i_all
scell.nextera.NXT_256	3	1527	2i_all
scell.nextera.NXT_257	3	1527	2i_all
scell.nextera.NXT_258	3	1527	2i_all
scell.nextera.NXT_282	4	1632	2i_all
scell.nextera.NXT_283	4	1632	2i_all
scell.nextera.NXT_284	4	1632	2i_all
scell.nextera.NXT_285	4	1632	2i_all
scell.nextera.NXT_286	4	1632	2i_all
scell.nextera.NXT_287	4	1632	2i_all
scell.nextera.NXT_288	4	1632	2i_all
scell.nextera.NXT_295	5	1654	2i_all
scell.nextera.NXT_296	5	1654	2i_all
scell.nextera.NXT_297	5	1654	2i_all
scell.nextera.NXT_298	5	1654	2i_all
scell.nextera.NXT_301	6	1749	2i_all
scell.nextera.NXT_302	6	1749	2i_all
scell.nextera.NXT_303	6	1749	2i_all
scell.nextera.NXT_304	6	1749	2i_all
scell.nextera.NXT_306	6	1749	2i_all
scell.nextera.NXT_307	6	1749	2i_all
scell.nextera.NXT_308	6	1749	2i_all
scell.nextera.NXT_311	6	1749	2i_all
scell.nextera.NXT_312	6	1749	2i_all
scell.nextera.NXT_313	6	1749	2i_all
scell.nextera.NXT_314	6	1749	2i_all
scell.nextera.NXT_315	6	1749	2i_all
scell.nextera.NXT_317	6	1749	2i_all
scell.nextera.NXT_318	6	1749	2i_all
scell.nextera.NXT_321	6	1749	2i_all
scell.nextera.NXT_322	6	1749	2i_all
scell.nextera.NXT_323	6	1749	2i_all
scell.nextera.NXT_324	6	1749	2i_all
scell.nextera.NXT_325	6	1749	2i_all
scell.nextera.NXT_326	6	1749	2i_all
scell.nextera.NXT_327	6	1749	2i_all
scell.nextera.NXT_328	6	1749	2i_all
scell.nextera.NXT_331	6	1749	2i_all
scell.nextera.NXT_332	6	1749	2i_all
scell.nextera.NXT_333	6	1749	2i_all
scell.nextera.NXT_334	6	1749	2i_all
scell.nextera.NXT_335	6	1749	2i_all
scell.nextera.NXT_336	6	1749	2i_all
scell.nextera.NXT_337	6	1749	2i_all
scell.nextera.NXT_338	6	1749	2i_all
scell.nextera.NXT_341	6	1749	2i_all
scell.nextera.NXT_342	6	1749	2i_all
scell.nextera.NXT_343	6	1749	2i_all
scell.nextera.NXT_344	6	1749	2i_all
scell.nextera.NXT_345	6	1749	2i_all
scell.nextera.NXT_346	6	1749	2i_all
scell.nextera.NXT_347	6	1749	2i_all
scell.nextera.NXT_348	6	1749	2i_all
scell.nextera.NXT_351	6	1749	2i_all
scell.nextera.NXT_352	6	1749	2i_all
scell.nextera.NXT_353	6	1749	2i_all
scell.nextera.NXT_354	6	1749	2i_all
scell.nextera.NXT_355	6	1749	2i_all
scell.nextera.NXT_356	6	1749	2i_all
scell.nextera.NXT_357	6	1749	2i_all
scell.nextera.NXT_358	6	1749	2i_all
scell.nextera.NXT_361	6	1749	2i_all
scell.nextera.NXT_362	6	1749	2i_all
scell.nextera.NXT_363	6	1749	2i_all
scell.nextera.NXT_364	6	1749	2i_all
scell.nextera.NXT_365	6	1749	2i_all
scell.nextera.NXT_366	6	1749	2i_all
scell.nextera.NXT_367	6	1749	2i_all
scell.nextera.NXT_368	6	1749	2i_all
scell.nextera.NXT_371	6	1749	2i_all
scell.nextera.NXT_372	6	1749	2i_all
scell.nextera.NXT_373	6	1749	2i_all
scell.nextera.NXT_374	6	1749	2i_all
scell.nextera.NXT_375	6	1749	2i_all
scell.nextera.NXT_376	6	1749	2i_all
scell.nextera.NXT_378	6	1749	2i_all
scell.nextera.NXT_381	6	1749	2i_all
scell.nextera.NXT_382	6	1749	2i_all
scell.nextera.NXT_383	6	1749	2i_all
scell.nextera.NXT_384	6	1749	2i_all
scell.nextera.NXT_385	6	1749	2i_all
scell.nextera.NXT_386	6	1749	2i_all
scell.nextera.NXT_387	6	1749	2i_all
scell.nextera.NXT_388	6	1749	2i_all
scell.nextera.NXT_391	6	1749	2i_all
scell.nextera.NXT_392	6	1749	2i_all
scell.nextera.NXT_393	6	1749	2i_all
scell.nextera.NXT_394	6	1749	2i_all
scell.nextera.NXT_395	6	1749	2i_all
scell.nextera.NXT_396	6	1749	2i_all
scell.nextera.NXT_397	6	1749	2i_all
scell.nextera.NXT_398	6	1749	2i_all
scell.nextera.NXT_401	6	1749	2i_all
scell.nextera.NXT_402	6	1749	2i_all
scell.nextera.NXT_403	6	1749	2i_all
scell.nextera.NXT_404	6	1749	2i_all
scell.nextera.NXT_405	6	1749	2i_all
scell.nextera.NXT_406	6	1749	2i_all
scell.nextera.NXT_407	6	1749	2i_all
scell.nextera.NXT_408	6	1749	2i_all
scell.nextera.NXT_411	6	1749	2i_all
scell.nextera.NXT_412	6	1749	2i_all
scell.nextera.NXT_413	6	1749	2i_all
scell.nextera.NXT_414	6	1749	2i_all
scell.nextera.NXT_415	6	1749	2i_all
scell.nextera.NXT_417	6	1749	2i_all
scell.nextera.NXT_418	6	1749	2i_all
scell.nextera.NXT_2011	7	2434	2i_all
scell.nextera.NXT_2012	7	2434	2i_all
scell.nextera.NXT_2013	7	2434	2i_all
scell.nextera.NXT_2014	7	2434	2i_all
scell.nextera.NXT_2015	7	2434	2i_all
scell.nextera.NXT_2016	7	2434	2i_all
scell.nextera.NXT_2017	7	2434	2i_all
scell.nextera.NXT_2018	7	2434	2i_all
scell.nextera.NXT_2021	7	2434	2i_all
scell.nextera.NXT_2022	7	2434	2i_all
scell.nextera.NXT_2023	7	2434	2i_all
scell.nextera.NXT_2024	7	2434	2i_all
scell.nextera.NXT_2025	7	2434	2i_all
