batch	batch_id	cond
scell.nextera.1CDU_1	1	1CDU_2312	1CDU
scell.nextera.1CDU_2	1	1CDU_2312	1CDU
scell.nextera.1CDU_4	1	1CDU_2312	1CDU
scell.nextera.1CDU_5	1	1CDU_2312	1CDU
scell.nextera.1CDU_7	1	1CDU_2312	1CDU
scell.nextera.1CDU_8	1	1CDU_2312	1CDU
scell.nextera.1CDU_11	1	1CDU_2312	1CDU
scell.nextera.1CDU_12	1	1CDU_2312	1CDU
scell.nextera.1CDU_13	1	1CDU_2312	1CDU
scell.nextera.1CDU_14	1	1CDU_2312	1CDU
scell.nextera.1CDU_15	1	1CDU_2312	1CDU
scell.nextera.1CDU_16	1	1CDU_2312	1CDU
scell.nextera.1CDU_17	1	1CDU_2312	1CDU
scell.nextera.1CDU_18	1	1CDU_2312	1CDU
scell.nextera.1CDU_21	1	1CDU_2312	1CDU
scell.nextera.1CDU_22	1	1CDU_2312	1CDU
scell.nextera.1CDU_23	1	1CDU_2312	1CDU
scell.nextera.1CDU_24	1	1CDU_2312	1CDU
scell.nextera.1CDU_25	1	1CDU_2312	1CDU
scell.nextera.1CDU_26	1	1CDU_2312	1CDU
scell.nextera.1CDU_27	1	1CDU_2312	1CDU
scell.nextera.1CDU_28	1	1CDU_2312	1CDU
scell.nextera.1CDU_31	1	1CDU_2312	1CDU
scell.nextera.1CDU_32	1	1CDU_2312	1CDU
scell.nextera.1CDU_33	1	1CDU_2312	1CDU
scell.nextera.1CDU_35	1	1CDU_2312	1CDU
scell.nextera.1CDU_36	1	1CDU_2312	1CDU
scell.nextera.1CDU_37	1	1CDU_2312	1CDU
scell.nextera.1CDU_38	1	1CDU_2312	1CDU
scell.nextera.1CDU_41	1	1CDU_2312	1CDU
scell.nextera.1CDU_42	1	1CDU_2312	1CDU
scell.nextera.1CDU_43	1	1CDU_2312	1CDU
scell.nextera.1CDU_44	1	1CDU_2312	1CDU
scell.nextera.1CDU_46	1	1CDU_2312	1CDU
scell.nextera.1CDU_47	1	1CDU_2312	1CDU
scell.nextera.1CDU_48	1	1CDU_2312	1CDU
scell.nextera.1CDU_52	1	1CDU_2312	1CDU
scell.nextera.1CDU_53	1	1CDU_2312	1CDU
scell.nextera.1CDU_54	1	1CDU_2312	1CDU
scell.nextera.1CDU_55	1	1CDU_2312	1CDU
scell.nextera.1CDU_56	1	1CDU_2312	1CDU
scell.nextera.1CDU_57	1	1CDU_2312	1CDU
scell.nextera.1CDU_58	1	1CDU_2312	1CDU
scell.nextera.1CDU_61	1	1CDU_2312	1CDU
scell.nextera.1CDU_62	1	1CDU_2312	1CDU
scell.nextera.1CDU_63	1	1CDU_2312	1CDU
scell.nextera.1CDU_64	1	1CDU_2312	1CDU
scell.nextera.1CDU_65	1	1CDU_2312	1CDU
scell.nextera.1CDU_66	1	1CDU_2312	1CDU
scell.nextera.1CDU_67	1	1CDU_2312	1CDU
scell.nextera.1CDU_68	1	1CDU_2312	1CDU
scell.nextera.1CDU_72	1	1CDU_2312	1CDU
scell.nextera.1CDU_73	1	1CDU_2312	1CDU
scell.nextera.1CDU_74	1	1CDU_2312	1CDU
scell.nextera.1CDU_75	1	1CDU_2312	1CDU
scell.nextera.1CDU_76	1	1CDU_2312	1CDU
scell.nextera.1CDU_77	1	1CDU_2312	1CDU
scell.nextera.1CDU_78	1	1CDU_2312	1CDU
scell.nextera.1CDU_81	1	1CDU_2312	1CDU
scell.nextera.1CDU_82	1	1CDU_2312	1CDU
scell.nextera.1CDU_83	1	1CDU_2312	1CDU
scell.nextera.1CDU_84	1	1CDU_2312	1CDU
scell.nextera.1CDU_85	1	1CDU_2312	1CDU
scell.nextera.1CDU_86	1	1CDU_2312	1CDU
scell.nextera.1CDU_87	1	1CDU_2312	1CDU
scell.nextera.1CDU_88	1	1CDU_2312	1CDU
scell.nextera.1CDU_91	1	1CDU_2312	1CDU
scell.nextera.1CDU_92	1	1CDU_2312	1CDU
scell.nextera.1CDU_93	1	1CDU_2312	1CDU
scell.nextera.1CDU_94	1	1CDU_2312	1CDU
scell.nextera.1CDU_95	1	1CDU_2312	1CDU
scell.nextera.1CDU_96	1	1CDU_2312	1CDU
scell.nextera.1CDU_97	1	1CDU_2312	1CDU
scell.nextera.1CDU_98	1	1CDU_2312	1CDU
scell.nextera.1CDU_101	1	1CDU_2312	1CDU
scell.nextera.1CDU_102	1	1CDU_2312	1CDU
scell.nextera.1CDU_103	1	1CDU_2312	1CDU
scell.nextera.1CDU_104	1	1CDU_2312	1CDU
scell.nextera.1CDU_105	1	1CDU_2312	1CDU
scell.nextera.1CDU_106	1	1CDU_2312	1CDU
scell.nextera.1CDU_107	1	1CDU_2312	1CDU
scell.nextera.1CDU_111	1	1CDU_2312	1CDU
scell.nextera.1CDU_113	1	1CDU_2312	1CDU
scell.nextera.1CDU_114	1	1CDU_2312	1CDU
scell.nextera.1CDU_115	1	1CDU_2312	1CDU
scell.nextera.1CDU_117	1	1CDU_2312	1CDU
scell.nextera.1CDU_118	1	1CDU_2312	1CDU
scell.nextera.1CDU_121	1	1CDU_2312	1CDU
scell.nextera.1CDU_123	1	1CDU_2312	1CDU
scell.nextera.1CDU_126	1	1CDU_2312	1CDU
scell.nextera.1CDU_127	1	1CDU_2312	1CDU
scell.nextera.1CDU_128	1	1CDU_2312	1CDU
scell.nextera.1CDU_371	2	1CDU_2851	1CDU
scell.nextera.1CDU_372	2	1CDU_2851	1CDU
scell.nextera.1CDU_373	2	1CDU_2851	1CDU
scell.nextera.1CDU_374	2	1CDU_2851	1CDU
scell.nextera.1CDU_375	2	1CDU_2851	1CDU
scell.nextera.1CDU_376	2	1CDU_2851	1CDU
scell.nextera.1CDU_377	2	1CDU_2851	1CDU
scell.nextera.1CDU_378	2	1CDU_2851	1CDU
scell.nextera.1CDU_381	2	1CDU_2851	1CDU
scell.nextera.1CDU_382	2	1CDU_2851	1CDU
scell.nextera.1CDU_383	2	1CDU_2851	1CDU
scell.nextera.1CDU_384	2	1CDU_2851	1CDU
scell.nextera.1CDU_385	2	1CDU_2851	1CDU
scell.nextera.1CDU_386	2	1CDU_2851	1CDU
scell.nextera.1CDU_387	2	1CDU_2851	1CDU
scell.nextera.1CDU_388	2	1CDU_2851	1CDU
scell.nextera.1CDU_391	2	1CDU_2851	1CDU
scell.nextera.1CDU_392	2	1CDU_2851	1CDU
scell.nextera.1CDU_393	2	1CDU_2851	1CDU
scell.nextera.1CDU_394	2	1CDU_2851	1CDU
scell.nextera.1CDU_395	2	1CDU_2851	1CDU
scell.nextera.1CDU_396	2	1CDU_2851	1CDU
scell.nextera.1CDU_397	2	1CDU_2851	1CDU
scell.nextera.1CDU_398	2	1CDU_2851	1CDU
scell.nextera.1CDU_401	2	1CDU_2851	1CDU
scell.nextera.1CDU_402	2	1CDU_2851	1CDU
scell.nextera.1CDU_403	2	1CDU_2851	1CDU
scell.nextera.1CDU_404	2	1CDU_2851	1CDU
scell.nextera.1CDU_405	2	1CDU_2851	1CDU
scell.nextera.1CDU_406	2	1CDU_2851	1CDU
scell.nextera.1CDU_407	2	1CDU_2851	1CDU
scell.nextera.1CDU_408	2	1CDU_2851	1CDU
scell.nextera.1CDU_411	2	1CDU_2851	1CDU
scell.nextera.1CDU_412	2	1CDU_2851	1CDU
scell.nextera.1CDU_413	2	1CDU_2851	1CDU
scell.nextera.1CDU_414	2	1CDU_2851	1CDU
scell.nextera.1CDU_415	2	1CDU_2851	1CDU
scell.nextera.1CDU_416	2	1CDU_2851	1CDU
scell.nextera.1CDU_417	2	1CDU_2851	1CDU
scell.nextera.1CDU_418	2	1CDU_2851	1CDU
scell.nextera.1CDU_421	2	1CDU_2851	1CDU
scell.nextera.1CDU_422	2	1CDU_2851	1CDU
scell.nextera.1CDU_423	2	1CDU_2851	1CDU
scell.nextera.1CDU_424	2	1CDU_2851	1CDU
scell.nextera.1CDU_425	2	1CDU_2851	1CDU
scell.nextera.1CDU_426	2	1CDU_2851	1CDU
scell.nextera.1CDU_427	2	1CDU_2851	1CDU
scell.nextera.1CDU_428	2	1CDU_2851	1CDU
scell.nextera.1CDU_431	2	1CDU_2851	1CDU
scell.nextera.1CDU_432	2	1CDU_2851	1CDU
scell.nextera.1CDU_433	2	1CDU_2851	1CDU
scell.nextera.1CDU_434	2	1CDU_2851	1CDU
scell.nextera.1CDU_435	2	1CDU_2851	1CDU
scell.nextera.1CDU_436	2	1CDU_2851	1CDU
scell.nextera.1CDU_437	2	1CDU_2851	1CDU
scell.nextera.1CDU_438	2	1CDU_2851	1CDU
scell.nextera.1CDU_441	2	1CDU_2851	1CDU
scell.nextera.1CDU_442	2	1CDU_2851	1CDU
scell.nextera.1CDU_443	2	1CDU_2851	1CDU
scell.nextera.1CDU_444	2	1CDU_2851	1CDU
scell.nextera.1CDU_445	2	1CDU_2851	1CDU
scell.nextera.1CDU_446	2	1CDU_2851	1CDU
scell.nextera.1CDU_447	2	1CDU_2851	1CDU
scell.nextera.1CDU_448	2	1CDU_2851	1CDU
scell.nextera.1CDU_451	2	1CDU_2851	1CDU
scell.nextera.1CDU_452	2	1CDU_2851	1CDU
scell.nextera.1CDU_453	2	1CDU_2851	1CDU
scell.nextera.1CDU_454	2	1CDU_2851	1CDU
scell.nextera.1CDU_455	2	1CDU_2851	1CDU
scell.nextera.1CDU_456	2	1CDU_2851	1CDU
scell.nextera.1CDU_457	2	1CDU_2851	1CDU
scell.nextera.1CDU_458	2	1CDU_2851	1CDU
scell.nextera.1CDU_461	2	1CDU_2851	1CDU
scell.nextera.1CDU_462	2	1CDU_2851	1CDU
scell.nextera.1CDU_463	2	1CDU_2851	1CDU
scell.nextera.1CDU_464	2	1CDU_2851	1CDU
scell.nextera.1CDU_465	2	1CDU_2851	1CDU
scell.nextera.1CDU_466	2	1CDU_2851	1CDU
scell.nextera.1CDU_467	2	1CDU_2851	1CDU
scell.nextera.1CDU_468	2	1CDU_2851	1CDU
scell.nextera.1CDU_471	2	1CDU_2851	1CDU
scell.nextera.1CDU_472	2	1CDU_2851	1CDU
scell.nextera.1CDU_473	2	1CDU_2851	1CDU
scell.nextera.1CDU_474	2	1CDU_2851	1CDU
scell.nextera.1CDU_475	2	1CDU_2851	1CDU
scell.nextera.1CDU_476	2	1CDU_2851	1CDU
scell.nextera.1CDU_477	2	1CDU_2851	1CDU
scell.nextera.1CDU_478	2	1CDU_2851	1CDU
scell.nextera.1CDU_481	2	1CDU_2851	1CDU
scell.nextera.1CDU_482	2	1CDU_2851	1CDU
scell.nextera.1CDU_483	2	1CDU_2851	1CDU
scell.nextera.1CDU_484	2	1CDU_2851	1CDU
scell.nextera.1CDU_485	2	1CDU_2851	1CDU
scell.nextera.1CDU_486	2	1CDU_2851	1CDU
scell.nextera.1CDU_487	2	1CDU_2851	1CDU
scell.nextera.1CDU_488	2	1CDU_2851	1CDU
scell.nextera.1CDU_491	2	1CDU_2851	1CDU
scell.nextera.1CDU_492	2	1CDU_2851	1CDU
scell.nextera.1CDU_493	2	1CDU_2851	1CDU
scell.nextera.1CDU_494	2	1CDU_2851	1CDU
scell.nextera.1CDU_495	2	1CDU_2851	1CDU
scell.nextera.1CDU_496	2	1CDU_2851	1CDU
scell.nextera.1CDU_497	2	1CDU_2851	1CDU
scell.nextera.1CDU_498	2	1CDU_2851	1CDU
scell.nextera.1CDU_501	2	1CDU_2851	1CDU
